"id","member_id","loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","addr_state","dti","earliest_cr_line","out_prncp","total_pymnt","last_pymnt_d","last_pymnt_amnt","application_type","recoveries"
17694729,19827215,3000.0,3000.0, 36 months,15.61,104.9,D,D1,"",OWN,36000.0,Verified,"1/6/2014",Current,home_improvement,GA,7.47,Mar-74,1590.45,1993.1,Jan-16,104.9,INDIVIDUAL,0
63958202,68388950,15000.0,15000.0, 60 months,13.67,346.47,C,C4,"10+ years",RENT,60000.0,Verified,"1/11/2015",Current,debt_consolidation,FL,22.59,Feb-03,14646.81,670.16,Jan-16,346.47,INDIVIDUAL,0
35978464,38680004,6000.0,6000.0, 36 months,9.49,192.17,B,B2,"3 years",MORTGAGE,155000.0,Not Verified,"1/11/2014",Fully Paid,debt_consolidation,PA,12.14,Nov-94,0.0,6170.93,Mar-15,14.65,INDIVIDUAL,0
56071130,59732943,5000.0,5000.0, 36 months,19.99,185.8,E,E4,"10+ years",MORTGAGE,60000.0,Not Verified,"1/8/2015",Current,other,FL,30.42,Jun-05,4470.1,923.45,Jan-16,185.8,INDIVIDUAL,0
5037433,6339738,21000.0,21000.0, 60 months,15.31,503.02,C,C2,"9 years",RENT,59800.0,Verified,"1/5/2013",Current,credit_card,TN,17.86,Aug-84,12137.42,15576.16,Dec-15,503.02,INDIVIDUAL,0
16041538,18144065,9600.0,9600.0, 36 months,10.99,314.25,B,B3,"4 years",RENT,34000.0,Source Verified,"1/5/2014",Current,credit_card,MN,12.25,Jul-00,4657.06,6285.0,Jan-16,314.25,INDIVIDUAL,0
34512369,37175666,9000.0,9000.0, 36 months,9.49,288.26,B,B2,"2 years",RENT,76000.0,Source Verified,"1/11/2014",Current,debt_consolidation,NJ,31.36,Feb-92,6040.03,3742.64,Dec-15,288.26,INDIVIDUAL,0
14550124,16612413,15000.0,15000.0, 36 months,7.9,469.36,A,A4,"10+ years",MORTGAGE,102000.0,Verified,"1/4/2014",Fully Paid,credit_card,VA,21.08,Feb-97,0.0,16309.57,Aug-15,9119.17,INDIVIDUAL,0
6311517,7842743,16000.0,16000.0, 36 months,17.56,574.92,D,D1,"10+ years",MORTGAGE,65000.0,Verified,"1/7/2013",Fully Paid,debt_consolidation,LA,24.06,Sep-01,0.0,17328.53,Feb-14,14453.93,INDIVIDUAL,0
1616763,1888572,10000.0,10000.0, 36 months,15.31,348.18,C,C2,"1 year",RENT,65000.0,Verified,"1/10/2012",Fully Paid,credit_card,IL,20.11,Sep-04,0.0,12207.40909,Oct-14,4199.27,INDIVIDUAL,0
40510505,43375220,7500.0,7500.0, 36 months,13.99,256.3,C,C4,"5 years",MORTGAGE,32000.0,Source Verified,"1/2/2015",Current,debt_consolidation,GA,22.73,Dec-00,5530.36,2804.73,Jan-16,256.3,INDIVIDUAL,0
52037638,55467385,16000.0,16000.0, 36 months,7.89,500.58,A,A5,< 1 year,MORTGAGE,87500.0,Not Verified,"1/6/2015",Current,credit_card,PA,19.54,Jan-93,13177.15,3490.03,Jan-16,500.58,INDIVIDUAL,0
40933811,43809741,35000.0,35000.0, 60 months,21.67,960.11,E,E5,"9 years",MORTGAGE,100000.0,Verified,"1/2/2015",Current,debt_consolidation,CA,37.13,Jan-01,31439.47,9558.96,Dec-15,960.11,INDIVIDUAL,0
34944401,37627719,12000.0,12000.0, 60 months,10.49,257.87,B,B3,"8 years",MORTGAGE,86000.0,Verified,"1/11/2014",Current,debt_consolidation,MO,6.48,May-93,9903.67,3338.32,Dec-15,257.87,INDIVIDUAL,0
16351998,18454484,4000.0,4000.0, 36 months,22.15,153.08,E,E5,"10+ years",MORTGAGE,90000.0,Verified,"1/5/2014",In Grace Period,other,IL,19.72,Jun-02,2215.97,2908.52,Dec-15,153.08,INDIVIDUAL,0
8578884,10340545,8325.0,8325.0, 36 months,14.3,285.75,C,C1,"1 year",RENT,24000.0,Not Verified,"1/11/2013",Fully Paid,vacation,OR,27.9,Oct-06,0.0,9147.291391,Sep-14,1048.33,INDIVIDUAL,0
65402615,69989350,10000.0,10000.0, 36 months,8.18,314.2,B,B1,"2 years",RENT,95000.0,Source Verified,"1/11/2015",Current,debt_consolidation,FL,15.88,Aug-02,9506.26,619.31,Jan-16,314.2,INDIVIDUAL,0
46958482,50167209,6000.0,6000.0, 36 months,13.99,205.04,C,C4,"10+ years",OWN,400000.0,Source Verified,"1/4/2015",Current,home_improvement,AZ,6.27,Nov-95,4874.14,1630.99,Jan-16,205.04,INDIVIDUAL,0
43849663,46866391,12000.0,12000.0, 60 months,19.52,314.74,E,E3,"2 years",RENT,30000.0,Source Verified,"1/3/2015",Charged Off,debt_consolidation,GA,33.92,Nov-95,0.0,939.22,Jun-15,322.75,INDIVIDUAL,0
6168398,7650542,35000.0,35000.0, 60 months,21.6,958.72,E,E3,"10+ years",MORTGAGE,153126.0,Verified,"1/7/2013",Fully Paid,debt_consolidation,CA,23.58,Mar-85,0.0,43236.73437,Sep-14,30779.74,INDIVIDUAL,0
21330080,23642991,10500.0,10500.0, 36 months,9.17,334.73,B,B1,"5 years",MORTGAGE,150000.0,Source Verified,"1/7/2014",Current,credit_card,TX,10.48,Feb-87,5609.11,6025.14,Jan-16,334.73,INDIVIDUAL,0
44137586,47154306,4700.0,4700.0, 36 months,14.65,162.13,C,C5,"4 years",MORTGAGE,246000.0,Verified,"1/3/2015",Late (31-120 days),home_improvement,GA,15.94,Dec-06,4053.34,980.13,Oct-15,339.26,INDIVIDUAL,0
8145197,9887301,8000.0,8000.0, 36 months,19.52,295.36,D,D4,"4 years",RENT,30000.0,Not Verified,"1/10/2013",Charged Off,debt_consolidation,NJ,9.32,Jun-10,0.0,3590.55,Sep-14,295.36,INDIVIDUAL,933.51
40454115,43318980,32000.0,32000.0, 60 months,14.31,749.74,C,C4,< 1 year,RENT,110000.0,Verified,"1/2/2015",Current,debt_consolidation,NC,7.32,Dec-91,28114.63,7471.96,Dec-15,749.74,INDIVIDUAL,0
42304803,45281574,15000.0,15000.0, 36 months,6.39,458.99,A,A2,"3 years",RENT,65000.0,Source Verified,"1/3/2015",Current,debt_consolidation,NV,10.04,May-96,11116.7,4584.58,Jan-16,458.99,INDIVIDUAL,0
33411704,36055039,20175.0,20175.0, 60 months,19.24,526.02,E,E2,"8 years",MORTGAGE,46000.0,Source Verified,"1/11/2014",Current,debt_consolidation,MI,14.25,Jul-02,17024.0,7321.15,Jan-16,526.02,INDIVIDUAL,0
6646111,8228272,4000.0,4000.0, 36 months,13.68,136.09,C,C1,"10+ years",MORTGAGE,80000.0,Source Verified,"1/8/2013",Current,debt_consolidation,NY,11.13,May-01,1034.99,3810.4,Jan-16,136.09,INDIVIDUAL,0
6578008,8130056,21725.0,21725.0, 36 months,17.56,780.63,D,D1,"4 years",RENT,53000.0,Verified,"1/8/2013",Charged Off,credit_card,NY,11.55,Jan-98,0.0,17952.75,Aug-15,780.63,INDIVIDUAL,0
41247015,44153767,9100.0,9100.0, 36 months,13.33,308.07,C,C3,"10+ years",MORTGAGE,105000.0,Source Verified,"1/2/2015",Current,moving,NV,14.55,Jan-02,6923.57,3073.96,Dec-15,308.07,INDIVIDUAL,0
51177176,54586952,21550.0,21550.0, 36 months,7.89,674.21,A,A5,"9 years",RENT,49000.0,Source Verified,"1/6/2015",Current,debt_consolidation,CA,13.14,Aug-08,17748.03,4710.02,Jan-16,674.21,INDIVIDUAL,0
42474884,45441677,15000.0,15000.0, 60 months,12.29,335.87,C,C1,"9 years",RENT,83200.0,Source Verified,"1/3/2015",Current,other,CA,9.2,Apr-00,13091.23,3384.3,Jan-16,335.87,INDIVIDUAL,0
8935156,10727278,19200.0,19200.0, 36 months,9.67,616.56,B,B1,"",MORTGAGE,108189.96,Source Verified,"1/11/2013",Current,debt_consolidation,NC,26.54,May-93,6466.5,15412.48,Jan-16,616.56,INDIVIDUAL,0
54393847,57974589,20900.0,20900.0, 36 months,17.86,754.12,D,D5,< 1 year,MORTGAGE,47500.0,Source Verified,"1/7/2015",Late (31-120 days),debt_consolidation,CA,18.52,Sep-96,20007.29,1487.5,Sep-15,754.12,INDIVIDUAL,0
65767418,70400254,20150.0,20150.0, 36 months,13.67,685.46,C,C4,"1 year",RENT,55000.0,Source Verified,"1/12/2015",Current,credit_card,WA,36.95,Sep-03,19694.08,616.6,Dec-15,631.9,INDIVIDUAL,0
59110729,62998501,5000.0,5000.0, 36 months,14.65,172.48,C,C5,"4 years",RENT,26000.0,Source Verified,"1/9/2015",Current,other,NJ,2.31,Jul-07,3537.88,1685.85,Jan-16,172.48,INDIVIDUAL,0
17924412,20076922,30000.0,30000.0, 36 months,10.99,982.02,B,B3,"10+ years",MORTGAGE,111000.0,Source Verified,"1/6/2014",Current,debt_consolidation,TN,19.41,Jul-86,15394.58,18658.38,Jan-16,982.02,INDIVIDUAL,0
1411654,1661519,14675.0,14675.0, 36 months,10.16,474.63,B,B1,"7 years",OWN,37000.0,Not Verified,"1/7/2012",Fully Paid,debt_consolidation,OH,19.98,Feb-04,0.0,17083.51252,Jul-15,485.9,INDIVIDUAL,0
42293126,45259839,9000.0,9000.0, 36 months,6.39,275.4,A,A2,"10+ years",RENT,75000.0,Not Verified,"1/2/2015",Current,debt_consolidation,CA,14.3,Sep-98,6669.96,2747.61,Dec-15,275.4,INDIVIDUAL,0
8194791,9936929,6000.0,6000.0, 36 months,11.99,199.26,B,B3,"6 years",MORTGAGE,70000.0,Source Verified,"1/10/2013",Fully Paid,debt_consolidation,MN,12.43,Aug-01,0.0,6666.77,Dec-14,3416.77,INDIVIDUAL,0
57940343,61734055,4000.0,4000.0, 36 months,9.17,127.52,B,B2,"9 years",RENT,43000.0,Not Verified,"1/8/2015",Current,credit_card,IL,19.09,Nov-95,3507.77,635.56,Jan-16,127.52,INDIVIDUAL,0
39532613,42356478,12800.0,12800.0, 36 months,8.19,402.23,A,A5,"10+ years",MORTGAGE,125000.0,Verified,"1/1/2015",Current,credit_card,MD,4.43,Nov-01,9215.78,4418.71,Dec-15,402.23,INDIVIDUAL,0
39599789,42423536,9600.0,9600.0, 36 months,13.66,326.53,C,C3,"8 years",RENT,38000.0,Source Verified,"1/1/2015",Current,debt_consolidation,GA,27.48,Nov-07,7069.48,3577.26,Dec-15,326.53,INDIVIDUAL,0
7057858,6817583,25000.0,25000.0, 60 months,22.7,700.46,E,E5,"10+ years",MORTGAGE,60000.0,Source Verified,"1/9/2013",Current,debt_consolidation,NY,29.55,Sep-88,16700.71,19611.88,Jan-16,700.46,INDIVIDUAL,0
45334832,48442572,4200.0,4200.0, 36 months,11.53,138.56,B,B5,"7 years",MORTGAGE,65000.0,Not Verified,"1/4/2015",Current,home_improvement,MD,22.71,Feb-99,3281.41,1244.35,Jan-16,138.56,INDIVIDUAL,0
639489,818702,14650.0,14650.0, 60 months,15.57,352.93,D,D5,"10+ years",RENT,37500.0,Verified,"1/1/2011",Fully Paid,debt_consolidation,CO,14.56,Mar-99,0.0,21174.99712,Jan-16,352.12,INDIVIDUAL,0
40393178,43257982,8000.0,8000.0, 36 months,8.19,251.4,A,A5,"10+ years",MORTGAGE,80000.0,Source Verified,"1/2/2015",Current,debt_consolidation,CT,38.46,Nov-88,5759.79,2761.76,Jan-16,251.4,INDIVIDUAL,0
8965128,10757253,25000.0,25000.0, 60 months,17.76,631.58,D,D1,"8 years",MORTGAGE,75000.0,Verified,"1/11/2013",Charged Off,debt_consolidation,SC,16.38,Sep-94,0.0,13894.16,Sep-15,631.58,INDIVIDUAL,0
631559,809054,24000.0,24000.0, 36 months,17.8,865.26,F,F1,"3 years",RENT,350000.0,Verified,"1/12/2010",Charged Off,debt_consolidation,CA,9.59,Dec-97,0.0,23775.82,Apr-13,865.26,INDIVIDUAL,434.86
513649,663714,24000.0,24000.0, 36 months,10.99,785.65,B,B4,"10+ years",MORTGAGE,150000.0,Verified,"1/5/2010",Fully Paid,home_improvement,GA,19.27,Feb-83,0.0,28277.57,May-13,820.06,INDIVIDUAL,0
3637066,4589379,20000.0,20000.0, 36 months,21.0,753.51,E,E2,"3 years",MORTGAGE,93000.0,Verified,"1/6/2013",Fully Paid,debt_consolidation,MA,15.07,Nov-02,0.0,23165.01434,Apr-14,16387.9,INDIVIDUAL,0
64028601,68459363,9000.0,9000.0, 36 months,13.67,306.16,C,C4,"8 years",RENT,60000.0,Verified,"1/11/2015",Current,debt_consolidation,VA,15.08,Oct-04,8590.41,629.4,Jan-16,306.16,INDIVIDUAL,0
7710452,9411918,12000.0,12000.0, 60 months,17.1,298.88,C,C5,"7 years",MORTGAGE,48000.0,Source Verified,"1/10/2013",Current,other,CA,6.78,Oct-95,8009.46,7770.88,Dec-15,298.88,INDIVIDUAL,0
31768105,34371301,3600.0,3600.0, 36 months,16.99,128.34,D,D3,"1 year",MORTGAGE,40000.0,Verified,"1/10/2014",Current,other,PA,29.22,Dec-07,2411.83,1793.36,Dec-15,128.34,INDIVIDUAL,0
60793448,64835251,10000.0,10000.0, 36 months,12.29,333.53,C,C1,"5 years",RENT,50000.0,Source Verified,"1/10/2015",Current,credit_card,IL,37.21,Jul-06,9299.54,1007.41,Jan-16,333.53,INDIVIDUAL,0
665071,850340,8000.0,8000.0, 36 months,5.79,242.62,A,A2,"8 years",MORTGAGE,140000.0,Verified,"1/2/2011",Fully Paid,home_improvement,MI,6.24,Aug-98,0.0,8669.08,Apr-13,2627.82,INDIVIDUAL,0
5030641,6333025,8975.0,8975.0, 36 months,12.12,298.62,B,B3,"3 years",MORTGAGE,52000.0,Source Verified,"1/5/2013",Current,home_improvement,PA,8.93,Sep-07,1166.26,9553.59,Jan-16,298.62,INDIVIDUAL,0
20761076,23033636,6500.0,6500.0, 36 months,12.99,218.98,C,C1,"6 years",MORTGAGE,42000.0,Source Verified,"1/7/2014",Current,debt_consolidation,KY,32.91,Aug-03,3563.94,3941.64,Jan-16,218.98,INDIVIDUAL,0
57275619,60978387,12000.0,12000.0, 36 months,5.32,361.38,A,A1,"",OWN,36000.0,Not Verified,"1/8/2015",Current,home_improvement,GA,29.5,Nov-74,10759.06,1461.48,Jan-16,361.38,INDIVIDUAL,0
53754284,57295000,20000.0,20000.0, 36 months,15.61,699.3,D,D1,"10+ years",MORTGAGE,70000.0,Verified,"1/7/2015",Late (31-120 days),debt_consolidation,NJ,24.72,Aug-04,18208.89,2779.86,Nov-15,699.3,INDIVIDUAL,0
29784696,32307910,8000.0,8000.0, 36 months,18.24,290.19,D,D5,"10+ years",RENT,20000.0,Source Verified,"1/10/2014",Current,debt_consolidation,OH,39.02,Jul-02,5183.52,4344.74,Jan-16,290.19,INDIVIDUAL,0
1419677,1670227,6000.0,6000.0, 36 months,11.14,196.84,B,B2,"4 years",RENT,29000.0,Not Verified,"1/8/2012",Fully Paid,debt_consolidation,WA,8.07,Aug-02,0.0,7085.668185,Aug-15,196.99,INDIVIDUAL,0
5835444,7297175,7550.0,7550.0, 36 months,13.68,256.87,C,C1,"6 years",MORTGAGE,39000.0,Not Verified,"1/7/2013",Current,debt_consolidation,IL,20.65,Oct-01,1482.05,7705.33,Jan-16,256.87,INDIVIDUAL,0
1367854,1612352,7000.0,7000.0, 36 months,16.29,247.11,C,C5,"10+ years",OWN,25000.0,Not Verified,"1/7/2012",Charged Off,debt_consolidation,NY,14.93,Aug-99,0.0,4333.05,Oct-13,247.11,INDIVIDUAL,633.45
68583325,73473043,5000.0,5000.0, 36 months,11.99,166.05,C,C1,"1 year",MORTGAGE,98000.0,Source Verified,"1/12/2015",Issued,other,CO,19.96,Oct-95,5000.0,0.0,"",0.0,INDIVIDUAL,0
66035414,70730152,25000.0,25000.0, 36 months,5.32,752.87,A,A1,"6 years",MORTGAGE,155000.0,Verified,"1/11/2015",Current,debt_consolidation,CO,26.17,Aug-90,23713.09,1444.35,Jan-16,698.87,INDIVIDUAL,0
54168541,57709293,10000.0,10000.0, 36 months,15.61,349.65,D,D1,"3 years",MORTGAGE,56000.0,Source Verified,"1/7/2015",Current,car,AZ,4.25,Aug-99,8639.01,2089.23,Jan-16,349.65,INDIVIDUAL,0
11455178,13387331,28000.0,28000.0, 36 months,15.31,974.89,C,C4,"10+ years",MORTGAGE,202000.0,Source Verified,"1/3/2014",Current,debt_consolidation,IL,7.9,Jun-83,13232.61,20472.69,Dec-15,974.89,INDIVIDUAL,0
46245491,49353257,20000.0,20000.0, 60 months,12.29,447.83,C,C1,"10+ years",MORTGAGE,50000.0,Source Verified,"1/5/2015",Fully Paid,debt_consolidation,NC,10.08,Apr-98,0.0,21075.03,Oct-15,19297.37,INDIVIDUAL,0
65787672,70420489,28000.0,28000.0, 60 months,8.18,570.16,B,B1,"9 years",RENT,150000.0,Source Verified,"1/12/2015",Current,debt_consolidation,NY,9.22,Mar-03,27620.71,544.71,Jan-16,570.16,INDIVIDUAL,0
61452969,65571791,16000.0,16000.0, 36 months,17.57,575.0,D,D4,"10+ years",RENT,67000.0,Source Verified,"1/10/2015",Current,debt_consolidation,MA,15.8,Dec-05,14962.76,1693.76,Jan-16,575.0,INDIVIDUAL,0
58573920,62414688,30000.0,30000.0, 36 months,8.18,942.59,B,B1,"7 years",RENT,175000.0,Verified,"1/8/2015",Current,credit_card,CA,7.19,Sep-95,27017.31,3743.09,Dec-15,942.59,INDIVIDUAL,0
61513646,65632474,4000.0,4000.0, 36 months,14.65,137.98,C,C5,"4 years",RENT,42092.95,Verified,"1/10/2015",Current,other,NY,27.06,Apr-91,3729.28,405.8,Jan-16,137.98,INDIVIDUAL,0
9724909,11577041,5200.0,5200.0, 36 months,7.9,162.71,A,A4,< 1 year,MORTGAGE,72000.0,Source Verified,"1/12/2013",Current,credit_card,LA,20.08,Jul-00,1721.49,4067.21,Jan-16,162.71,INDIVIDUAL,0
2371355,2834090,10575.0,10575.0, 36 months,15.31,368.2,C,C2,"5 years",MORTGAGE,38016.0,Verified,"1/1/2013",Fully Paid,debt_consolidation,NV,4.98,Dec-05,0.0,13254.8943,Jan-16,367.89,INDIVIDUAL,0
1313314,1558993,13250.0,13250.0, 36 months,19.22,487.17,D,D5,"5 years",RENT,28000.0,Verified,"1/6/2012",Fully Paid,small_business,SC,1.5,May-99,0.0,15325.5,May-13,10467.17,INDIVIDUAL,0
2367685,2830094,6000.0,6000.0, 36 months,6.03,182.62,A,A1,"3 years",RENT,110000.0,Not Verified,"1/12/2012",Fully Paid,credit_card,VA,6.81,Mar-02,0.0,6316.19,Feb-14,2947.05,INDIVIDUAL,0
22201426,24524373,12000.0,12000.0, 36 months,9.17,382.55,B,B1,"",MORTGAGE,44000.0,Verified,"1/7/2014",Current,credit_card,MD,25.31,Mar-02,6741.41,6503.35,Jan-16,382.55,INDIVIDUAL,0
9666300,9890240,10000.0,10000.0, 36 months,11.99,332.1,B,B3,"8 years",RENT,45000.0,Source Verified,"1/1/2014",Current,credit_card,IL,9.28,Aug-83,3356.13,8302.5,Jan-16,332.1,INDIVIDUAL,0
50526450,53906210,15000.0,15000.0, 36 months,17.86,541.24,D,D5,"5 years",MORTGAGE,220000.0,Verified,"1/6/2015",Current,home_improvement,AZ,18.49,Apr-01,12672.18,3773.8,Jan-16,541.24,INDIVIDUAL,0
33331242,35974575,5000.0,5000.0, 36 months,12.49,167.25,B,B5,"4 years",RENT,36400.0,Not Verified,"1/10/2014",Current,debt_consolidation,TN,18.17,Jan-07,3273.3,2351.08,Jan-16,167.25,INDIVIDUAL,0
736949,934019,35000.0,35000.0, 36 months,10.37,1135.45,B,B3,"3 years",MORTGAGE,410000.0,Verified,"1/4/2011",Fully Paid,home_improvement,FL,7.92,Jul-93,0.0,40873.88584,May-14,1145.68,INDIVIDUAL,0
64852279,69342992,17000.0,17000.0, 36 months,5.32,511.96,A,A1,"6 years",MORTGAGE,210000.0,Source Verified,"1/12/2015",Current,credit_card,CO,12.07,Feb-99,16563.41,506.94,Jan-16,511.96,INDIVIDUAL,0
1422205,1672933,28000.0,28000.0, 36 months,12.12,931.61,B,B3,< 1 year,RENT,90000.0,Verified,"1/8/2012",Fully Paid,debt_consolidation,NY,23.33,Sep-99,0.0,32836.09385,Aug-14,11413.74,INDIVIDUAL,0
42454431,45421201,18000.0,18000.0, 36 months,7.89,563.15,A,A5,"3 years",RENT,175000.0,Not Verified,"1/3/2015",Current,debt_consolidation,CA,5.04,Aug-01,13418.06,5655.17,Jan-16,563.15,INDIVIDUAL,0
11637557,13609745,10000.0,10000.0, 36 months,13.53,339.5,B,B5,"7 years",MORTGAGE,43000.0,Not Verified,"1/2/2014",Fully Paid,home_improvement,FL,13.73,Jul-00,0.0,11466.22,May-15,6713.22,INDIVIDUAL,0
9855599,11707611,16000.0,16000.0, 60 months,24.5,464.95,F,F3,"10+ years",RENT,96000.0,Verified,"1/2/2014",Current,major_purchase,NY,5.2,May-94,11991.83,10693.85,Jan-16,464.95,INDIVIDUAL,0
